Wanna train the model? [Y/n]2025-04-04 10:36:50,270 - architecture2 - INFO - training started for 30 epochs
2025-04-04 10:36:50,270 - architecture2 - INFO - model will be saved to: model_folder/best_model_04-04-2025-10-36.pth
2025-04-04 10:39:55,244 - architecture2 - INFO - new best model saved at epoch 1 (Val Loss: 0.4900)
2025-04-04 10:39:55,245 - architecture2 - INFO - Epoch 1/30 || Time: 184.93s | Remaining: 95.5min || Train Acc: 0.8514 | Val Acc: 0.9851 || Train Loss: 0.5886 | Val Loss: 0.4900 || Val IoU: 0.4762 | Val F1: 0.6452
2025-04-04 10:43:03,142 - architecture2 - INFO - new best model saved at epoch 2 (Val Loss: 0.2967)
2025-04-04 10:43:03,142 - architecture2 - INFO - Epoch 2/30 || Time: 187.47s | Remaining: 93.7min || Train Acc: 0.9919 | Val Acc: 0.9967 || Train Loss: 0.3911 | Val Loss: 0.2967 || Val IoU: 0.7941 | Val F1: 0.8852
2025-04-04 10:46:11,160 - architecture2 - INFO - new best model saved at epoch 3 (Val Loss: 0.2322)
2025-04-04 10:46:11,160 - architecture2 - INFO - Epoch 3/30 || Time: 187.87s | Remaining: 90.8min || Train Acc: 0.9974 | Val Acc: 0.9977 || Train Loss: 0.2526 | Val Loss: 0.2322 || Val IoU: 0.8460 | Val F1: 0.9166
2025-04-04 10:49:19,590 - architecture2 - INFO - new best model saved at epoch 4 (Val Loss: 0.2190)
2025-04-04 10:49:19,590 - architecture2 - INFO - Epoch 4/30 || Time: 188.02s | Remaining: 87.7min || Train Acc: 0.9980 | Val Acc: 0.9981 || Train Loss: 0.2241 | Val Loss: 0.2190 || Val IoU: 0.8724 | Val F1: 0.9318
2025-04-04 10:52:28,123 - architecture2 - INFO - new best model saved at epoch 5 (Val Loss: 0.2153)
2025-04-04 10:52:28,123 - architecture2 - INFO - Epoch 5/30 || Time: 188.39s | Remaining: 84.8min || Train Acc: 0.9982 | Val Acc: 0.9983 || Train Loss: 0.2166 | Val Loss: 0.2153 || Val IoU: 0.8839 | Val F1: 0.9383
2025-04-04 10:55:36,905 - architecture2 - INFO - new best model saved at epoch 6 (Val Loss: 0.2131)
